t fi z E
5.970000 0.162377 4.740275 0.816886
5.980000 0.170824 4.749585 0.817025
5.990000 0.179037 4.758902 0.817135
6.000000 0.187010 4.768226 0.817215
6.010000 0.194733 4.777556 0.817265
6.020000 0.202200 4.786892 0.817285
6.030000 0.209404 4.796232 0.817275
6.040000 0.216337 4.805576 0.817235
6.050000 0.222994 4.814923 0.817167
6.060000 0.229369 4.824273 0.817071
6.070000 0.235456 4.833624 0.816946
6.080000 0.241249 4.842975 0.816795
6.090000 0.246745 4.852327 0.816618
6.100000 0.251938 4.861678 0.816416
6.110000 0.256825 4.871028 0.816190
6.120000 0.261402 4.880376 0.815942
6.130000 0.265666 4.889721 0.815672
6.140000 0.269614 4.899062 0.815383
6.150000 0.273242 4.908400 0.815075
6.160000 0.276550 4.917734 0.814750
6.170000 0.279536 4.927063 0.814410
6.180000 0.282197 4.936387 0.814056
6.190000 0.284533 4.945705 0.813690
6.200000 0.286543 4.955017 0.813314
6.210000 0.288228 4.964323 0.812928
6.220000 0.289586 4.973622 0.812536
6.230000 0.290618 4.982915 0.812138
6.240000 0.291325 4.992201 0.811737
6.250000 0.291709 5.001479 0.811334
6.260000 0.291769 5.010751 0.810931
6.270000 0.291509 5.020015 0.810530
6.280000 0.290930 5.029273 0.810132
6.290000 0.290035 5.038523 0.809738
6.300000 0.288826 5.047767 0.809352
6.310000 0.287306 5.057003 0.808973
6.320000 0.285479 5.066234 0.808604
6.330000 0.283348 5.075457 0.808247
6.340000 0.280918 5.084675 0.807902
6.350000 0.278191 5.093887 0.807571
6.360000 0.275173 5.103094 0.807256
6.370000 0.271869 5.112296 0.806957
6.380000 0.268283 5.121493 0.806676
6.390000 0.264421 5.130687 0.806413
6.400000 0.260289 5.139877 0.806171
6.410000 0.255891 5.149063 0.805949
6.420000 0.251235 5.158248 0.805749
6.430000 0.246326 5.167430 0.805572
6.440000 0.241171 5.176611 0.805417
6.450000 0.235776 5.185791 0.805287
6.460000 0.230150 5.194972 0.805180
6.470000 0.224297 5.204152 0.805097
6.480000 0.218227 5.213334 0.805040
6.490000 0.211946 5.222518 0.805007
6.500000 0.205462 5.231704 0.804999
6.510000 0.198783 5.240893 0.805016
6.520000 0.191918 5.250086 0.805057
6.530000 0.184873 5.259283 0.805123
6.540000 0.177658 5.268486 0.805212
6.550000 0.170280 5.277694 0.805326
6.560000 0.162749 5.286908 0.805462
6.570000 0.155073 5.296129 0.805620
6.580000 0.147261 5.305357 0.805800
6.590000 0.139322 5.314593 0.806001
6.600000 0.131264 5.323838 0.806221
6.610000 0.123097 5.333092 0.806460
6.620000 0.114830 5.342355 0.806717
6.630000 0.106471 5.351628 0.806990
6.640000 0.098031 5.360912 0.807278
6.650000 0.089518 5.370206 0.807581
6.660000 0.080941 5.379511 0.807896
6.670000 0.072311 5.388828 0.808222
6.680000 0.063635 5.398156 0.808558
6.690000 0.054923 5.407496 0.808902
